,Kotor,Comments,Author
1,1,rick lu anak hasil kondom bocor ya,Whiskey FJ
2,0,kakak itu sokpede,Nafida 0712
3,1,gg bang slow gw sub kontol eenak,rafi ahmad
4,0,apa di tangan mu tatu,Rosli Ishak
5,1,muka lo ekk anjing gue rugi nonton youtube lo anjing,Dean Dea
6,1,gw suka gaya lu anjing haha hibur bedd wkwkwkw kontol ahaha,aqil sandie
7,1,mantapp bang erickkkkkaha hibur bedd wkwkwkw kontol ahaha,Rakhaaa S6
8,1,buat haters lo semua gosah sok sokan ngerti video erickolim kalo gk suka ngapain ditonton semudah itu anjinkkkkkk eriko juga gk maksa nonton video dia kalo suka ya alhamdulilah klo gk suka ya yaudah gak apa apa eriko juga gak maksa njinkkkkk,Aditzzeux Fx
9,0,subcribe cuma segitu doang kalah am atta,van Yuda
10,1,eriko kayak memek asu anjing cuiiihhh babi kontol lu kecil,van Yuda
11,0,bang collab ma bang leokoce v,Dewi Lesta
12,0,tapi gw ngakak nonton ericko lim walaupun toxic mantap dah rik,Fidel Junior
14,1,"hahaahaha haters kontol tuh bng ricko lim 
lanjut aja bng ricko gua suport lu bnonton semudah itu anjinkkkkkk eriko juga gk maksa nonton video dia kalo suka ya alhamdulilah klo gk suka ya yaudah gak apa apa eriko juga gak maksa njinkkkkk",dahny tawel
15,0,"haters konten
konten adsense
masih ngalirrrrr",Bang RA Gaming
16,1,sok iya banget lu anjeng lu bikin vidio gak ada faedahnya yg gak pantes ditonto bahasa lu babi nyesel kali emak lo lahirin lo dari memek harusnya dari silit lo goblok,Eza Maullana
17,1,babi banget yakan ni vidio gak pntg bgt goblok lu buka sifat asli lu kek apa yakan org yg subscribe lu itu iseng subcribe trus keluar babi goblok banget mnding ngaca aja muka lu kek kontol anjin,Eza Maullana
18,0,gua suka bngt sma konten luu bang,ADONARA BOYZZ
19,0,hahahahah,Yukihira Shiro
20,1,bang bikin vidio balas komentar haters lagi biar haters hater anjing ka kagak terus terusan engbacot pokonya bang iric harus semangat aku tau terkenal itu bukan suatu hal yang mudah dan gampang butuh proses di uji hates pokoknya tetap semangat bang eric jadi youtuber yang lebih sukses dan bisa melawan haters haters anjing,Sbastian ruben Sbastian
21,0,baku hantam dimulai,Demon blazing blazing
22,0,erick lim sma kimi hime gue fans dia karna dia serasi kalau pacarang,Sultang Gamimg Daimon
23,0,jangan hina erick gue fans dia jangan katakatai erick,Sultang Gamimg Daimon
24,1,hmm ahh bau memek,AngZ Gaming
25,0,betul bang lanjutin aja karya luu bangtakatai erick,Dan Cok
26,0,lu bacanya tuh sabar ngomong kotor mulu hater itu gak usah dibaca komennya,si Topi
27,0,i love you v,Adrian Setiawan
28,0,gw heartes bukan haters,Wira Widyatna Mahardika
29,0,auto subs lu i like itmong kotor mulu hater itu gak usah dibaca komennya,Vii Aerina
30,1,bilang sama orang itu mukak orang itu kayak jembut kucing,Domino _venom
31,0,pecahkan kepala otak orang itu bg,Domino _venom
32,0,gua suka sama lho bangng itu bg,Agus Aryadi
33,0,slow rick gw ada di pihak lu eak,Odeliass;88
34,0,"gausa diladenin bang rick para haters tu smakin lu banyak haters lu smakin naik bro

ttp menghibur bang rick dngan gaya toxic anjenggggg",Rahman Cover
35,0,sabar rick,Tatang 65
36,1,anti pantad typyd si erick mah,Fariq Nugraha
37,0,panutan ku,Rama Keitaro T
38,0,semangat k walaupun dibully trus,rafa kusuma
39,1,"ngakak ajg wkwk banyak juga haters nya yak v tapi gpp rik tetep buat konten yang lo sukai dan di sukai para subcribe lu salah satunya gua rik 
buat para haters ericko engak motak b madura",sowok ers
40,0,"semangat trs bangg k juga haters nya yak v tapi gpp rik tetep buat konten yang lo sukai dan di sukai para subcribe lu salah satunya gua rik 
buat para haters ericko engak motak b madura",Rosa meilita
41,0,"ganteng bangggg k juga haters nya yak v tapi gpp rik tetep buat konten yang lo sukai dan di sukai para subcribe lu salah satunya gua rik 
buat para haters ericko engak motak b madura",Rosa meilita
42,1,hhhmmm bau memek,Auriq Ryan
43,1,yang penting dapat berkarya dan ngehibur gak harus tenar karna kegoblokannya haters memang rajanya apa di comment gak intro emang lu bisa ngbuat channel ampe subs segede bang eric,Kaha SY
44,0,dear haters inget boyy tanpa ericko lim lu gak bakal sedewasa ini,dante imaru238
45,1,ngakak kontol wkwkwkanpa ericko lim lu gak bakal sedewasa ini,James Boi
46,0,slb apa,annisa Khairunnisa
47,1,"hahaha dnger tuh para heters tolol



ini channel hiburan 
bukan channel mendidik",Mugiwara Luffy
48,0,gua suka gaya lu nanggepin haters rick,Aser Ffff
49,0,ericko lim is the bestin haters rick,Dzaki Rgt
50,1,haters kontol,12345678910 Balap
51,0,yg sabar aja yg bang,Estiti Kebumen
52,0,hahahaha,subandi
53,0,sip bang,Damare Jagad
54,0,ngakak sial  emang gak berfaefah cuma bikin org ngakak siAan channel mendidik,Lulu Soso
55,1,banyak haters banyak duit btw ini ngent d,Rizky Ahmal
56,0,"buat lo haters jgn nonton klo gk suka nyaranin org jgn nonton content ini tpi lo juga nonton kan klo ada bocah yg nonton lalu tugas orang tuanya apa njing percuma nyariin biaya tpi kgk ngedidik 




ohya satu lagi buat lo haters mati aja lo ngent d",Bagus Ackerman
57,1,wehh eric kontol kapan bikin video reading komen lagi,Ahmad Hadiansyah
58,0,tetap semangat brada,Albi pramana
59,1,ngakak bangsat,Hanan Amani
60,1,eh pokoknya subscriber ericko lim atau orang orang lain yang nonton video ini sangat menyebalkan dan gak usah ditiru karena seperti orang bego yang enngak punya otak ericko lim lu mending gak usah kyk gini lagi,naufal adilla
61,1,ngomong nya jangan kasar bangsat,Rusmaniar Abdul Roni
62,1,sumpah we ngakak njirr,Branz Gaming
63,0,gila emang yg pada koment negatip lu klo gasuka jgn koment bikin dosa aja lu pada ini konten cuma buat hiburan aja lah pikir dlu boy,Oki Squerpants
64,1,erickontol,Dimas Nurcholis
65,0,baru pembuka ud lebay apalagi pertengahannya,Steven Ciawi
66,1,bau mem k,Bass Loudspeaker
67,0,kocak hahahaha banget,Muhammad Faqih
68,0,gw aja subs pertama kali belum di gift sultan macam apa niih,GH057 - YT
69,0,susu kental manis,Supri Arsop
70,0,gua suka ah sm elu bangm di gift sultan macam apa niih,Mpitt mdmd
71,0,awoke,M. SANIF
72,0,yoi gw si yayaya,kiki pb
73,1,haters tai kambingangm di gift sultan macam apa niih,Bilal Gaming Indo
75,0,"panjat terus bang tembus juta
lu gua coliin pake kaki kuda bang a aja lu pada ini konten cuma buat hiburan aja lah pikir dlu boy",Hendryco March
76,0,bang ericolim gua salah satu subscriber lu fans lu bang,rizky anisa
77,0,terbaik erickolimsalam dri balriber lu fans lu bang,Odek Divayana
78,0,good erick,Axel Raihan
